MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,Id,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SalePrice
30,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseA,0,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,None,None,None,3,WD,Normal,414,56,8960,1927,1950,0,0,0,1008,1008,1028,0,0,1028,1927,360,0,0,130,0,0,0,0,2010,115000
60,RL,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,BLQ,GLQ,GasA,Ex,Y,SBrkr,0,1,2,1,3,1,Gd,9,Typ,1,TA,Attchd,Unf,3,TA,TA,Y,None,None,None,12,WD,Normal,415,59,11228,1993,1993,0,50,531,499,1080,1080,1017,0,2097,1993,678,196,187,0,0,0,0,0,2008,228000
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,Fin,2,TA,TA,Y,None,None,None,8,New,Partial,416,73,8899,2007,2007,0,24,0,1316,1340,1340,0,0,1340,2007,396,100,30,0,0,0,0,0,2007,181134
60,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,3,WD,Normal,417,74,7844,1978,1978,203,209,0,463,672,672,728,0,1400,1978,440,0,0,0,0,0,0,0,2006,149500
70,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,6,Hip,CompShg,Wd Sdng,Stucco,None,TA,TA,BrkTil,Gd,TA,No,BLQ,Unf,GasW,TA,N,FuseA,1,0,2,1,4,1,TA,10,Typ,1,Gd,Detchd,Unf,3,TA,TA,N,None,None,None,11,WD,Normal,418,86,22420,1918,1950,0,1128,0,242,1370,1370,1254,0,2624,1918,864,0,0,0,0,0,0,0,2007,239000
50,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,ALQ,Unf,GasA,Fa,N,FuseF,1,0,1,1,3,1,TA,7,Typ,0,None,Detchd,Unf,1,TA,TA,P,None,None,None,4,WD,AdjLand,419,60,8160,1940,1950,0,312,0,444,756,756,378,0,1134,1940,240,0,0,0,0,0,0,0,2007,126000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,Unf,1,TA,TA,Y,None,None,None,7,WD,Normal,420,65,8450,1968,1968,0,775,0,281,1056,1056,0,0,1056,1968,304,0,85,184,0,0,0,0,2010,142000
90,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,Gd,PConc,Gd,Gd,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,2,0,2,0,2,2,TA,8,Typ,0,None,Attchd,Fin,4,TA,TA,Y,None,None,None,11,WD,Alloca,421,78,7060,1997,1998,200,1309,0,35,1344,1344,0,0,1344,1997,784,0,0,0,0,0,0,0,2008,206300
20,RL,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,CemntBd,CmentBd,Stone,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,0,1,2,0,3,1,Gd,8,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,6,WD,Normal,422,0,16635,1977,2000,126,1246,0,356,1602,1602,0,0,1602,1977,529,240,0,0,0,0,0,0,2009,215000
20,RL,Pave,None,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,0,0,1,0,2,1,TA,4,Typ,0,None,Attchd,RFn,2,TA,TA,N,None,None,None,2,WD,Normal,423,100,21750,1954,1954,0,0,0,988,988,988,0,0,988,1954,520,0,0,0,0,0,0,0,2008,113000
60,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Gd,Y,SBrkr,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,Fin,3,TA,TA,Y,None,None,None,6,WD,Normal,424,80,9200,1998,1998,473,986,0,484,1470,1470,1160,0,2630,1998,696,0,66,0,0,0,0,0,2008,315000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,No,LwQ,Unf,GasA,Gd,Y,FuseA,1,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,RFn,1,TA,TA,Y,None,None,None,5,WD,Normal,425,72,9000,1956,1956,74,616,0,580,1196,1196,0,0,1196,1956,297,0,44,0,0,0,0,0,2008,139000
60,RM,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,1,1,3,1,TA,6,Typ,2,Gd,Detchd,Unf,1,TA,TA,P,None,None,None,9,WD,Normal,426,60,3378,1946,1992,0,0,0,651,651,707,682,0,1389,1947,240,0,0,126,0,0,0,0,2009,135000
80,RL,Pave,None,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,8,WD,Normal,427,0,12800,1989,1989,145,1518,0,0,1518,1644,0,0,1644,1989,569,80,0,0,0,396,0,0,2009,275000
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,Hip,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,0,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,7,WD,Normal,428,77,8593,1957,1957,0,288,0,619,907,907,0,0,907,1964,352,0,0,0,0,0,0,0,2008,109008
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,0,2,1,Gd,6,Typ,0,None,Attchd,RFn,2,TA,TA,Y,None,None,None,9,New,Partial,429,64,6762,2007,2007,108,664,0,544,1208,1208,0,0,1208,2007,628,105,54,0,0,0,0,0,2007,195400
20,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Mn,GLQ,Unf,GasA,TA,Y,SBrkr,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,None,None,None,3,WD,Normal,430,130,11457,1988,1988,0,1005,0,387,1392,1412,0,0,1412,1988,576,0,0,169,0,0,0,0,2009,175000
160,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,0,0,1,1,2,1,TA,4,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,7,COD,Abnorml,431,21,1680,1971,1971,232,387,0,96,483,483,504,0,987,1971,264,0,0,0,0,0,0,0,2008,85400
50,RM,Pave,None,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,1,0,4,1,TA,7,Typ,0,None,None,None,0,None,None,N,None,MnPrv,None,9,ConLD,Abnorml,432,60,5586,1920,1998,0,0,0,901,901,1088,110,0,1198,NA,0,0,98,0,0,0,0,0,2008,79900
160,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,1,2,1,TA,6,Min1,0,None,Detchd,Unf,2,TA,TA,Y,None,None,None,8,WD,Normal,433,24,1920,1971,1971,376,471,0,294,765,765,600,0,1365,1971,440,240,36,0,0,0,0,0,2007,122500
60,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,7,WD,Normal,434,100,10839,1997,1998,0,0,0,926,926,926,678,0,1604,1997,470,0,36,0,0,0,0,0,2008,181000
180,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,Gable,CompShg,CemntBd,CmentBd,None,TA,Gd,CBlock,Gd,TA,Av,ALQ,Unf,GasA,Gd,Y,SBrkr,1,0,1,0,1,1,TA,3,Typ,0,None,None,None,0,None,None,Y,None,None,None,6,WD,Normal,435,21,1890,1972,1972,0,495,0,135,630,630,0,0,630,NA,0,88,0,0,0,0,0,0,2008,81000
60,RL,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,ALQ,GasA,Ex,Y,SBrkr,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,None,None,None,4,ConLw,Normal,436,43,10667,1996,1996,0,385,344,70,799,827,834,0,1661,1996,550,158,61,0,0,0,0,0,2009,212000
50,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Stucco,Stucco,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,TA,Y,FuseA,0,0,1,0,2,1,TA,6,Typ,0,None,Detchd,Unf,2,TA,TA,Y,None,None,None,10,WD,Normal,437,40,4400,1920,1950,0,0,0,648,648,734,384,0,1118,1990,440,0,0,0,0,0,0,0,2006,116000
45,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,1,WD,Normal,438,50,6000,1926,2004,0,0,0,884,884,904,0,0,904,1926,180,0,0,105,0,0,0,0,2009,119000
30,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,WdShing,Stucco,None,TA,TA,PConc,TA,TA,No,LwQ,Unf,GasA,TA,N,SBrkr,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Detchd,Unf,1,Gd,TA,P,None,MnPrv,None,3,WD,Normal,439,40,4280,1913,2002,0,365,0,75,440,694,0,0,694,1990,352,0,0,34,0,0,0,0,2007,90350
50,RL,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,Fa,Mn,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,1,0,3,1,Gd,7,Typ,0,None,Detchd,Unf,2,TA,TA,Y,None,GdPrv,Shed,8,ConLI,Normal,440,67,12354,1920,2000,0,0,0,684,684,684,512,0,1196,2005,528,0,46,0,0,0,0,800,2009,110000
90,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,N,FuseF,0,0,2,0,4,2,Fa,8,Typ,0,None,None,None,0,None,None,Y,None,None,None,9,WD,Normal,442,92,12108,1955,1955,270,133,0,1307,1440,1440,0,0,1440,NA,0,0,0,0,0,0,0,0,2008,118000
50,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,0,0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,Unf,2,TA,TA,P,None,None,None,6,WD,Normal,443,52,6240,1930,1992,0,0,0,1078,1078,1128,445,0,1573,1930,360,0,0,0,0,0,0,0,2008,162900
120,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,WdShing,Wd Shng,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,3,TA,TA,Y,None,None,None,6,New,Partial,444,53,3922,2006,2007,72,0,0,1258,1258,1258,0,0,1258,2007,648,144,16,0,0,0,0,0,2007,172500
60,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,None,None,None,7,WD,Normal,445,70,8750,1994,1995,0,642,0,273,915,933,975,0,1908,1994,493,144,133,0,0,0,0,0,2008,210000
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,Unf,2,TA,TA,Y,None,MnPrv,None,11,COD,Normal,446,73,9855,1956,1956,0,0,0,1436,1436,1689,0,0,1689,1956,480,0,0,0,0,0,0,0,2009,127500
20,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,Gable,CompShg,BrkFace,Plywood,None,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,0,0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2,TA,TA,Y,None,None,None,6,WD,Normal,447,137,16492,1966,2002,0,247,713,557,1517,1888,0,0,1888,1966,578,0,0,0,0,0,0,0,2010,190000
60,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,2,1,4,1,Gd,10,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,7,WD,Normal,448,0,11214,1998,1999,0,0,0,930,930,956,930,0,1886,1998,431,89,0,0,0,0,0,0,2006,199900
50,RM,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,Unf,1,TA,TA,N,None,None,None,6,WD,Normal,449,50,8600,1937,1950,0,0,0,780,780,780,596,0,1376,1937,198,0,0,0,0,0,0,0,2006,119500
50,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,0,0,1,1,2,1,TA,6,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,6,WD,Normal,450,50,6000,1948,2002,0,331,0,318,649,679,504,0,1183,1981,308,0,176,0,0,0,0,0,2007,120000
30,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,0,0,1,0,2,1,Gd,5,Typ,0,None,Detchd,Unf,1,Fa,Fa,N,None,None,None,6,WD,Normal,451,70,5684,1930,2005,0,0,0,813,813,813,0,0,813,1932,270,0,113,0,0,0,0,0,2006,110000
60,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,1,3,1,TA,7,Typ,0,None,Attchd,Fin,2,TA,TA,Y,None,None,None,7,WD,Normal,453,0,9303,1996,1997,42,742,0,130,872,888,868,0,1756,1996,422,144,122,0,0,0,0,0,2007,204000
60,FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,1,3,1,Gd,6,Typ,0,None,Attchd,RFn,2,TA,TA,Y,None,None,None,6,WD,Normal,454,75,9000,2008,2008,0,0,0,768,768,786,804,0,1590,2008,676,0,30,0,0,0,0,0,2009,210000
90,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,2,0,2,0,4,2,TA,8,Typ,0,None,Detchd,Unf,2,TA,TA,Y,None,None,None,7,WD,Family,455,63,9297,1976,1976,0,1606,0,122,1728,1728,0,0,1728,1976,560,0,0,0,0,0,0,0,2006,188000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,None,None,None,9,WD,Normal,456,80,9600,1973,1973,320,916,0,326,1242,1242,0,0,1242,1973,528,0,0,0,0,0,0,0,2007,175500
70,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,0,0,1,0,4,1,TA,7,Typ,0,None,Detchd,Unf,3,Fa,Fa,Y,None,None,None,5,COD,Abnorml,457,34,4571,1916,1950,0,0,0,624,624,624,720,0,1344,1916,513,0,0,96,0,0,0,0,2008,98000
70,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,Hip,CompShg,Stucco,Wd Shng,None,TA,Gd,PConc,TA,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,0,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,1,TA,TA,Y,None,MnPrv,None,6,WD,Normal,459,0,5100,1925,1996,0,0,0,588,588,833,833,0,1666,1925,228,192,63,0,0,0,0,0,2008,161000
50,RL,Pave,None,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,MetalSd,MetalSd,BrkCmn,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,1,0,1,0,3,1,Gd,5,Typ,1,TA,Detchd,Unf,1,TA,TA,Y,None,None,None,7,WD,Normal,460,0,7015,1950,1950,161,185,0,524,709,979,224,0,1203,1950,352,0,0,248,0,0,0,0,2009,110000
60,FV,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,1,3,1,TA,8,Typ,0,None,BuiltIn,Fin,2,TA,TA,Y,None,None,None,12,New,Partial,461,75,8004,2009,2009,110,544,0,288,832,832,1103,0,1935,2009,552,0,150,0,0,0,0,0,2009,263435
70,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,1,0,1,0,3,1,Gd,6,Typ,0,None,Detchd,RFn,2,TA,TA,Y,None,MnPrv,None,4,WD,Normal,462,60,7200,1936,2007,0,350,210,0,560,575,560,0,1135,1971,576,256,0,0,0,0,0,0,2009,155000
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,Rec,BLQ,GasA,Gd,Y,SBrkr,0,0,1,0,3,1,TA,5,Typ,1,Po,Detchd,Unf,1,TA,TA,Y,None,GdWo,None,12,WD,Normal,463,60,8281,1965,1965,0,553,311,0,864,864,0,0,864,1965,360,0,0,236,0,0,0,0,2009,62383
70,RL,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,Hip,CompShg,Stucco,Stucco,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Fa,Y,FuseA,0,0,1,1,3,1,TA,6,Typ,1,Gd,Detchd,Unf,1,TA,TA,Y,None,None,None,8,WD,Normal,464,74,11988,1934,1995,0,326,0,389,715,849,811,0,1660,1939,240,0,0,0,0,0,0,0,2008,188700
20,RL,Pave,None,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,0,0,2,0,3,1,TA,5,Typ,0,None,None,None,0,None,None,Y,None,None,None,8,WD,Normal,465,60,8430,1978,1978,136,616,0,424,1040,1040,0,0,1040,NA,0,0,0,0,0,0,0,0,2009,124000
120,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,5,WD,Normal,466,0,3072,2004,2004,18,0,0,1375,1375,1414,0,0,1414,2004,398,144,20,0,0,0,0,0,2006,178740
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,Flat,Tar&Grv,Plywood,Plywood,None,TA,Gd,CBlock,TA,Gd,Gd,GLQ,Unf,GasA,TA,Y,SBrkr,1,0,1,0,2,1,TA,5,Typ,1,Po,Attchd,Unf,2,TA,TA,Y,None,GdWo,None,4,WD,Normal,467,85,10628,1970,1970,0,778,0,499,1277,1277,0,0,1277,1970,526,0,0,0,0,176,0,0,2007,167000
70,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,5,7,Gable,CompShg,MetalSd,MetalSd,Stone,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,0,0,1,1,3,1,Gd,7,Typ,2,Gd,Attchd,Unf,1,TA,TA,Y,None,None,None,6,WD,Normal,468,79,9480,1942,1995,224,386,0,342,728,888,756,0,1644,1942,312,168,0,0,0,0,0,0,2007,146500
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,None,None,None,5,WD,Normal,469,98,11428,2006,2006,248,0,0,1626,1626,1634,0,0,1634,2006,866,0,44,0,0,0,0,0,2007,250000
